,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0,2Cg3GUkhjX96nO4p2WRlIa,https://p.scdn.co/mp3-preview/76a319173677aa416718c3b253917fc966073b45?cid=5753b92e6a084808bea42ea533c53400,0.705,0.483,1,-12.209,1,0.0542,0.15,0.0265,0.202,0.713,122.863,blues
1,4Gia17DzXBhYFbYiJj6SyW,https://p.scdn.co/mp3-preview/95db634a0536a6343e7e35f90bd1213d2bb63a90?cid=5753b92e6a084808bea42ea533c53400,0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,blues
2,1cRTAPP2FG9h2WiYMOIVIK,https://p.scdn.co/mp3-preview/f91eee7da940f10266e7637d032b2930d4d4077c?cid=5753b92e6a084808bea42ea533c53400,0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,blues
3,05oMNN5Rbv6rVqyFFG9uTl,https://p.scdn.co/mp3-preview/7c36f14a89497d8bd2df6ea49f10f2f326b2d065?cid=5753b92e6a084808bea42ea533c53400,0.582,0.302,9,-11.624,1,0.0353,0.947,0.0107,0.0931,0.642,94.288,blues
4,5bC6ONDsL88snGN6QasjZH,,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,blues
5,3GlWQKV9uiSui0AoOZ8PaM,https://p.scdn.co/mp3-preview/8960af15f59cbe09c3a9d7b1574052bf32fb3e66?cid=5753b92e6a084808bea42ea533c53400,0.682,0.586,7,-10.984,1,0.0959,0.346,0.0648,0.0884,0.865,118.567,blues
6,73GEVn1tqk9bn0KbtWsiqj,https://p.scdn.co/mp3-preview/afbfa93c13fa3210d9ef9d78be328e194d3df70b?cid=5753b92e6a084808bea42ea533c53400,0.433,0.7,11,-8.197,1,0.163,0.843,0.324,0.102,0.8,80.623,blues
7,1i7nQGgwloILcp6ZftH2Qa,https://p.scdn.co/mp3-preview/23fd6ec3565d889c196add6ca3125381f4ce7578?cid=5753b92e6a084808bea42ea533c53400,0.606,0.301,0,-11.402,1,0.0423,0.545,0.00194,0.0419,0.457,100.979,blues
8,58PSYdY0GFg0LFb2PxYk4T,https://p.scdn.co/mp3-preview/9b460ad06b312028b6bd1249482e03018a81eabc?cid=5753b92e6a084808bea42ea533c53400,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,blues
9,41s9iG3fTuu32yBnmDLCcZ,https://p.scdn.co/mp3-preview/aba72660deee65a74795b15ff9fbbc0f0b603327?cid=5753b92e6a084808bea42ea533c53400,0.596,0.545,11,-8.913,0,0.064,0.456,5.53e-05,0.329,0.718,146.953,blues
10,2PcbVKT28p9mOlWBDL371J,https://p.scdn.co/mp3-preview/30d9b912fac0f9d722fdcbcfee8999c40f309d32?cid=5753b92e6a084808bea42ea533c53400,0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,blues
11,5ZUxxja3WzBZUFF6P9M9HN,https://p.scdn.co/mp3-preview/202566f39c8457307afb247ad00f5c3d4256ab6c?cid=5753b92e6a084808bea42ea533c53400,0.581,0.333,0,-14.209,1,0.032,0.944,0.472,0.332,0.488,94.197,blues
12,4KMXlzvtC8xjLseDqDjpeU,,0.676,0.334,5,-10.572,1,0.0508,0.862,0.0,0.32,0.867,158.0,blues
13,2Mr1bGI2E10K7Mt1UJZ6Mw,,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,blues
14,3OHj5SY6j7Ftmfa7qZJWoa,https://p.scdn.co/mp3-preview/2cf7b21726d0cfd67db5c512e3ee3455adc0f177?cid=5753b92e6a084808bea42ea533c53400,0.677,0.503,7,-13.637,1,0.0335,0.612,0.000272,0.288,0.844,111.147,blues
15,1cXc92MX9kFjMrrDsvdf9w,,0.648,0.544,1,-8.963,1,0.179,0.343,2.93e-06,0.087,0.619,153.063,blues
16,1bMCiGzKRJwmYkxtSBsTSM,https://p.scdn.co/mp3-preview/9a0e61527bb8506d251f03f0da018d622d42664d?cid=5753b92e6a084808bea42ea533c53400,0.592,0.464,7,-16.925,1,0.0374,0.509,0.000214,0.166,0.764,112.986,blues
