,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0,58PSYdY0GFg0LFb2PxYk4T,https://p.scdn.co/mp3-preview/9b460ad06b312028b6bd1249482e03018a81eabc?cid=5753b92e6a084808bea42ea533c53400,0.598,0.735,2.0,-10.882,1.0,0.0973,0.44,0.000215,0.681,0.615,111.129,blues
1,1a2iF9XymafjRk56q7oCxo,https://p.scdn.co/mp3-preview/4c5d5e7b33282d295249c0826895ed7ea25a7944?cid=5753b92e6a084808bea42ea533c53400,0.427,0.626,8.0,-11.821,1.0,0.0385,0.0274,0.00395,0.106,0.743,126.877,blues
2,3PwKz7ML8VnNAp15OzIMWG,https://p.scdn.co/mp3-preview/0622347d471d067347729516ee8dea00177a25bd?cid=5753b92e6a084808bea42ea533c53400,0.501,0.454,5.0,-8.54,0.0,0.0282,0.637,0.0132,0.147,0.557,97.189,blues
3,5XNpdKmlLJPUbwKQceX2tW,https://p.scdn.co/mp3-preview/d4eb7e90f46ea5984c68354631cd82f563767e5c?cid=5753b92e6a084808bea42ea533c53400,0.475,0.383,1.0,-14.202,1.0,0.0375,0.362,0.749,0.0728,0.524,114.709,blues
4,3KSchPNSklO5McIqRH3qYX,https://p.scdn.co/mp3-preview/a9631f7cc3cd91484cc818fa5728c191d7fdd01c?cid=5753b92e6a084808bea42ea533c53400,0.542,0.588,2.0,-9.268,1.0,0.0665,0.67,0.158,0.241,0.881,113.948,blues
5,6jRcwdv3gQro498uQ6KRwf,https://p.scdn.co/mp3-preview/42e05cfb378a938bab37edcc110b43e66e98634c?cid=5753b92e6a084808bea42ea533c53400,0.276,0.982,8.0,-4.563,1.0,0.0611,0.00682,0.296,0.133,0.706,178.832,blues
6,1TkliUZNnCeTjZMWPuUoPK,https://p.scdn.co/mp3-preview/f790baabcdb50b8ff6cdfd3ca220394455b7a14f?cid=5753b92e6a084808bea42ea533c53400,0.613,0.934,0.0,-3.711,1.0,0.0342,0.0406,0.000313,0.0882,0.776,107.273,blues
7,6gRGLfswEsfpy1UxHEyP6X,,0.693,0.489,9.0,-9.709,0.0,0.0316,0.0854,0.00234,0.131,0.262,87.085,blues
8,0owGTle1xBp2AZIchl6fp6,https://p.scdn.co/mp3-preview/3756e84261be54888d1c39e625a032b245bc94b9?cid=5753b92e6a084808bea42ea533c53400,0.269,0.778,5.0,-4.323,0.0,0.0925,0.473,4.5e-05,0.403,0.84,206.403,blues
9,2Mr1bGI2E10K7Mt1UJZ6Mw,,0.441,0.455,10.0,-14.207,1.0,0.0485,0.62,0.00187,0.135,0.918,160.9,blues
10,3YGsgJqtIWKjMjZtKLk11Z,https://p.scdn.co/mp3-preview/7d095e62fd09e44d8ce5f998997d0b5c728df42b?cid=5753b92e6a084808bea42ea533c53400,0.294,0.736,7.0,-7.961,0.0,0.151,0.282,0.0418,0.102,0.753,208.576,blues
11,3BkMv30DKcUEOsRbDSAyIq,https://p.scdn.co/mp3-preview/79a1029fc9ba83f71bb6d275b8665921f77b40df?cid=5753b92e6a084808bea42ea533c53400,0.313,0.707,7.0,-4.772,1.0,0.0363,0.227,0.00237,0.0949,0.537,175.158,blues
12,1kPBT8S2wJFNAyBMnGVZgL,,0.477,0.433,11.0,-6.473,0.0,0.0247,0.689,0.000195,0.151,0.611,82.52,blues
13,3xoMRK8egNvtjrCEQieLko,https://p.scdn.co/mp3-preview/149da4bd74ebbcd1c488dd7068b9f9aa32a63b68?cid=5753b92e6a084808bea42ea533c53400,0.883,0.446,0.0,-10.304,1.0,0.0574,0.462,1.03e-06,0.0447,0.964,112.635,blues
14,6tv6EVWMV7AIWi8PhZ0uvO,https://p.scdn.co/mp3-preview/2cd2111bde8b8691acb4491867000aefd849e16a?cid=5753b92e6a084808bea42ea533c53400,0.399,0.366,5.0,-10.814,1.0,0.035,0.458,0.00431,0.117,0.143,130.246,blues
15,2AxCeJ6PSsBYiTckM0HLY7,https://p.scdn.co/mp3-preview/0dbfddfb47bf4644d6c034f6caa01fb16ba378c6?cid=5753b92e6a084808bea42ea533c53400,0.214,0.91,8.0,-6.662,1.0,0.389,0.48,0.00839,0.0517,0.447,175.561,blues
16,6lXeiMvUgvlyI7dQKmvIKR,,0.594,0.747,0.0,-7.624,1.0,0.0424,0.28,0.0,0.704,0.851,84.923,blues
17,5MTsZG10E0hTvAkdioyPnw,https://p.scdn.co/mp3-preview/dddbe6a44522819adc4b260b33cc654cb26ced63?cid=5753b92e6a084808bea42ea533c53400,0.572,0.348,0.0,-13.454,1.0,0.0293,0.438,0.000731,0.235,0.34,73.303,blues
18,7DFgoaZmFnjOcKlrpV0mPK,,0.333,0.603,0.0,-8.339,1.0,0.176,0.331,0.0268,0.982,0.525,207.8,blues
19,1cRTAPP2FG9h2WiYMOIVIK,https://p.scdn.co/mp3-preview/f91eee7da940f10266e7637d032b2930d4d4077c?cid=5753b92e6a084808bea42ea533c53400,0.294,0.611,2.0,-6.268,1.0,0.0348,0.0226,0.435,0.114,0.567,178.191,blues
20,35ydSuNJn9z4eTjhWp2xUJ,,0.669,0.334,9.0,-16.205,0.0,0.0425,0.83,9.61e-05,0.289,0.592,146.178,blues
21,2FtX5tOFUVOyjcGQiuGR8f,https://p.scdn.co/mp3-preview/8660077debb481d5ae0d7f29dcc31a6f49a215d0?cid=5753b92e6a084808bea42ea533c53400,0.353,0.921,2.0,-5.64,1.0,0.0758,0.0488,0.065,0.314,0.526,145.589,blues
22,5MtN38MGEWJt60LwtBmFNP,https://p.scdn.co/mp3-preview/36d90a0d3afd31dccef2c0b94d0256c152c9609f?cid=5753b92e6a084808bea42ea533c53400,0.256,0.423,6.0,-11.994,1.0,0.035,0.000788,0.402,0.25,0.441,173.27,blues
23,3Gq3uFAdJltar4ddwboPby,https://p.scdn.co/mp3-preview/828aa45207caebdcafe25d3b3cb0687776381c98?cid=5753b92e6a084808bea42ea533c53400,0.584,0.278,4.0,-18.566,1.0,0.0312,0.55,0.21,0.255,0.75,81.712,blues
24,1WE055A5d1019EAx79Rg8Q,https://p.scdn.co/mp3-preview/e72469b28a01f5c7ac86bd5ab5f1eca47d3c46b5?cid=5753b92e6a084808bea42ea533c53400,0.567,0.56,11.0,-8.356,0.0,0.147,0.656,0.000102,0.127,0.766,147.008,blues
25,776ESZrMd2rMNsbPOrckXG,,0.699,0.633,11.0,-6.249,1.0,0.0261,0.436,9.32e-05,0.0291,0.907,91.398,blues
26,3nV1Sy2qjdZW8Wo7Q0PCpE,https://p.scdn.co/mp3-preview/c3f2635fb6ec33d10186a6f79adb1413130d86f9?cid=5753b92e6a084808bea42ea533c53400,0.533,0.804,11.0,-7.928,0.0,0.114,0.282,0.00863,0.583,0.789,103.06,blues
27,4v4zFRDRkXyGPTRyYur26i,https://p.scdn.co/mp3-preview/a1a679802888f95444f52d491b247c3b3cc27784?cid=5753b92e6a084808bea42ea533c53400,0.629,0.648,8.0,-14.063,1.0,0.0382,0.0203,0.0356,0.299,0.691,104.014,blues
28,4XrQXeFcgsE5Wq30VfDMKL,https://p.scdn.co/mp3-preview/9853642462c95376ec13d909b75d2068316108de?cid=5753b92e6a084808bea42ea533c53400,0.189,0.262,11.0,-7.64,0.0,0.0367,0.645,0.813,0.752,0.207,178.368,blues
29,0hnlRgTh80b1emNnM0jmwt,https://p.scdn.co/mp3-preview/8d8479ec83eb070c48cb69987e0af97063b1aff8?cid=5753b92e6a084808bea42ea533c53400,0.568,0.898,8.0,-8.833,0.0,0.0862,0.0285,0.0787,0.484,0.833,110.824,blues
30,0Xce26qA69PONzBHbJAbMY,https://p.scdn.co/mp3-preview/761f38fe5516ff6ea323a20a2b1994e4b9324f02?cid=5753b92e6a084808bea42ea533c53400,0.385,0.974,9.0,-4.69,1.0,0.0458,0.0777,0.881,0.364,0.824,156.876,blues
31,3DjwjAUPT4zvIu6ZzcgLGJ,https://p.scdn.co/mp3-preview/debd52b355651f69cb0f56a9a3fddf9d82d9939d?cid=5753b92e6a084808bea42ea533c53400,0.541,0.283,0.0,-13.659,1.0,0.0527,0.805,0.0367,0.0736,0.564,76.828,blues
32,5qb0gAZsgkCXV38Lm4kYf0,https://p.scdn.co/mp3-preview/d03df2daf6d614bb7e83c1a0f6fb19e9ae27dd20?cid=5753b92e6a084808bea42ea533c53400,0.616,0.808,0.0,-4.505,1.0,0.0502,0.00124,0.000111,0.688,0.531,119.952,blues
33,7a014uMHF3nlqzXCxV551C,https://p.scdn.co/mp3-preview/2fdcdc8e81561d6579a53352abd40f76a2858934?cid=5753b92e6a084808bea42ea533c53400,0.476,0.556,10.0,-6.501,1.0,0.0274,0.125,0.0117,0.0898,0.559,135.624,blues
34,7oy11oZXWxwRYn5DUxk0oW,,0.746,0.56,5.0,-14.789,1.0,0.0565,0.494,0.0,0.316,0.853,124.68,blues
35,26QOKAY7kr2EazSmLxZLdW,https://p.scdn.co/mp3-preview/a6df6bd7c622e2fcaccde1a03bc9f55e9eed3f90?cid=5753b92e6a084808bea42ea533c53400,0.814,0.456,11.0,-7.009,0.0,0.109,0.754,0.000101,0.112,0.599,140.159,blues
36,1wKWmUEdhYn47Znz5CzV5p,https://p.scdn.co/mp3-preview/a12b7013339f6f43e9a35a24cb12cb6352b5805b?cid=5753b92e6a084808bea42ea533c53400,0.538,0.654,1.0,-10.155,1.0,0.0486,0.069,0.323,0.197,0.53,121.002,blues
37,2Cg3GUkhjX96nO4p2WRlIa,https://p.scdn.co/mp3-preview/76a319173677aa416718c3b253917fc966073b45?cid=5753b92e6a084808bea42ea533c53400,0.705,0.483,1.0,-12.209,1.0,0.0542,0.15,0.0265,0.202,0.713,122.863,blues
38,5xNE6bGRS65lxMEBIl6xbT,https://p.scdn.co/mp3-preview/7c8671818d8da1b4af4530bebc081d0f568bc90a?cid=5753b92e6a084808bea42ea533c53400,0.452,0.78,7.0,-11.035,1.0,0.0719,0.028,0.000716,0.0662,0.456,98.312,blues
39,2ojpe2iiB4hyFQQSv2xfay,https://p.scdn.co/mp3-preview/0fb92b2daf946f9bf677a7f8b25653221af15d16?cid=5753b92e6a084808bea42ea533c53400,0.501,0.446,7.0,-8.673,1.0,0.0507,0.794,0.000711,0.0978,0.356,175.251,blues
40,7yXuquZiCxTyLXzPnwlqJv,https://p.scdn.co/mp3-preview/6405126faa62a4e0ee804e7828427d6e561411b8?cid=5753b92e6a084808bea42ea533c53400,0.479,0.423,2.0,-7.714,1.0,0.0694,0.768,0.000305,0.294,0.4,169.527,blues
41,2wnjZXcAT3rCjjqxLeHjv7,,0.565,0.526,0.0,-11.352,1.0,0.0365,0.0339,0.000119,0.11,0.637,167.936,blues
42,3L8DnKNfRS3vv13t1E5jc3,https://p.scdn.co/mp3-preview/517c1a0dfbf4d26338a4dfda005c1070defd8480?cid=5753b92e6a084808bea42ea533c53400,0.394,0.337,5.0,-10.709,0.0,0.0476,0.339,0.0431,0.165,0.586,178.32,blues
43,7oe5ASbDMlio2tsUouy6V0,,0.677,0.77,5.0,-6.408,1.0,0.0337,0.231,0.00164,0.308,0.924,119.793,blues
44,2PcbVKT28p9mOlWBDL371J,https://p.scdn.co/mp3-preview/30d9b912fac0f9d722fdcbcfee8999c40f309d32?cid=5753b92e6a084808bea42ea533c53400,0.469,0.236,7.0,-16.981,1.0,0.0364,0.407,0.0434,0.215,0.415,82.232,blues
45,0REHBJqgYx296su1xt9M7y,,0.49,0.71,9.0,-7.025,0.0,0.0557,0.248,0.0193,0.13,0.667,159.858,blues
46,3H2LrcYZk56ahcsYvFCar1,https://p.scdn.co/mp3-preview/b135a7de7b869b949eed43f1b554a7cd060ae69c?cid=5753b92e6a084808bea42ea533c53400,0.368,0.484,9.0,-6.214,0.0,0.026,0.523,0.174,0.0792,0.217,73.35,blues
47,2olkoaZoOAjIKR80JTBNid,https://p.scdn.co/mp3-preview/13a5d33e46b167a18fdf1bec33fbd3bbd1013cba?cid=5753b92e6a084808bea42ea533c53400,0.593,0.678,9.0,-9.315,1.0,0.0391,0.163,0.0,0.207,0.793,118.027,blues
48,1nyy7yku79STQ8srWmpnbH,https://p.scdn.co/mp3-preview/3d687b34801aabd4b3fc062843c82eea4c5b43ee?cid=5753b92e6a084808bea42ea533c53400,0.416,0.487,2.0,-8.749,1.0,0.0345,0.588,0.00162,0.34,0.718,93.262,blues
49,2KLQS8bGeVRxm3e0OrDOTB,,0.81,0.706,0.0,-12.5,1.0,0.055,0.187,0.0,0.195,0.608,105.682,blues
50,48z2rCxqFdlMejXthnbCkX,https://p.scdn.co/mp3-preview/da7cb0b44565fedea04054c5adc2f588c011baaf?cid=5753b92e6a084808bea42ea533c53400,0.347,0.466,10.0,-6.613,1.0,0.0309,0.672,0.085,0.122,0.321,179.903,blues
51,4DmBVImaIhE3RyNvbtZTTz,https://p.scdn.co/mp3-preview/3b0481919e0e8bc05ee22b661cf8de749c8956ed?cid=5753b92e6a084808bea42ea533c53400,0.371,0.634,10.0,-7.648,0.0,0.0277,0.146,0.011,0.104,0.568,84.977,blues
52,3LkhowDvQ0ky3LQ5L6TLFk,https://p.scdn.co/mp3-preview/1a006b6421c7cb65aefdc09900ed38876dd8ae4d?cid=5753b92e6a084808bea42ea533c53400,0.417,0.939,9.0,-8.797,1.0,0.316,0.0893,0.015,0.617,0.373,139.573,blues
53,7zto61V8ySp03Qi6X1LU2X,https://p.scdn.co/mp3-preview/c27871e6e8f42401527822dd3553af69d252ef1a?cid=5753b92e6a084808bea42ea533c53400,0.576,0.0968,6.0,-19.439,0.0,0.036,0.546,0.286,0.226,0.168,113.232,blues
54,2YJgM8lj4u5YEZRSHSfL60,,0.404,0.695,2.0,-6.162,1.0,0.034,0.587,0.0383,0.159,0.646,133.135,blues
55,1cyftogE58xHzSgb77zcsn,https://p.scdn.co/mp3-preview/48a154cedebb6dab8324382e94931d4ff144c004?cid=5753b92e6a084808bea42ea533c53400,0.659,0.163,6.0,-11.864,0.0,0.0388,0.766,1.41e-05,0.0735,0.473,95.882,blues
56,05oMNN5Rbv6rVqyFFG9uTl,https://p.scdn.co/mp3-preview/7c36f14a89497d8bd2df6ea49f10f2f326b2d065?cid=5753b92e6a084808bea42ea533c53400,0.582,0.302,9.0,-11.624,1.0,0.0353,0.947,0.0107,0.0931,0.642,94.288,blues
