,Unnamed: 0,id,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0,0,58PSYdY0GFg0LFb2PxYk4T,https://p.scdn.co/mp3-preview/9b460ad06b312028b6bd1249482e03018a81eabc?cid=5753b92e6a084808bea42ea533c53400,0.598,0.735,2.0,-10.882,1.0,0.0973,0.44,0.000215,0.6809999999999999,0.615,111.12899999999999,blues
1,1,1a2iF9XymafjRk56q7oCxo,https://p.scdn.co/mp3-preview/4c5d5e7b33282d295249c0826895ed7ea25a7944?cid=5753b92e6a084808bea42ea533c53400,0.42700000000000005,0.626,8.0,-11.821,1.0,0.0385,0.0274,0.00395,0.106,0.743,126.87700000000001,blues
2,2,3PwKz7ML8VnNAp15OzIMWG,https://p.scdn.co/mp3-preview/0622347d471d067347729516ee8dea00177a25bd?cid=5753b92e6a084808bea42ea533c53400,0.501,0.45399999999999996,5.0,-8.54,0.0,0.0282,0.637,0.0132,0.147,0.557,97.189,blues
3,3,5XNpdKmlLJPUbwKQceX2tW,https://p.scdn.co/mp3-preview/d4eb7e90f46ea5984c68354631cd82f563767e5c?cid=5753b92e6a084808bea42ea533c53400,0.475,0.38299999999999995,1.0,-14.202,1.0,0.0375,0.36200000000000004,0.7490000000000001,0.0728,0.524,114.709,blues
4,4,3KSchPNSklO5McIqRH3qYX,https://p.scdn.co/mp3-preview/a9631f7cc3cd91484cc818fa5728c191d7fdd01c?cid=5753b92e6a084808bea42ea533c53400,0.542,0.588,2.0,-9.267999999999999,1.0,0.0665,0.67,0.158,0.24100000000000002,0.8809999999999999,113.948,blues
5,5,6jRcwdv3gQro498uQ6KRwf,https://p.scdn.co/mp3-preview/42e05cfb378a938bab37edcc110b43e66e98634c?cid=5753b92e6a084808bea42ea533c53400,0.276,0.982,8.0,-4.563,1.0,0.0611,0.0068200000000000005,0.29600000000000004,0.133,0.706,178.832,blues
6,6,1TkliUZNnCeTjZMWPuUoPK,https://p.scdn.co/mp3-preview/f790baabcdb50b8ff6cdfd3ca220394455b7a14f?cid=5753b92e6a084808bea42ea533c53400,0.613,0.934,0.0,-3.7110000000000003,1.0,0.0342,0.0406,0.00031299999999999996,0.0882,0.7759999999999999,107.273,blues
8,8,0owGTle1xBp2AZIchl6fp6,https://p.scdn.co/mp3-preview/3756e84261be54888d1c39e625a032b245bc94b9?cid=5753b92e6a084808bea42ea533c53400,0.26899999999999996,0.778,5.0,-4.323,0.0,0.0925,0.473,4.5e-05,0.40299999999999997,0.84,206.403,blues
10,10,3YGsgJqtIWKjMjZtKLk11Z,https://p.scdn.co/mp3-preview/7d095e62fd09e44d8ce5f998997d0b5c728df42b?cid=5753b92e6a084808bea42ea533c53400,0.294,0.736,7.0,-7.961,0.0,0.151,0.282,0.0418,0.102,0.753,208.576,blues
11,11,3BkMv30DKcUEOsRbDSAyIq,https://p.scdn.co/mp3-preview/79a1029fc9ba83f71bb6d275b8665921f77b40df?cid=5753b92e6a084808bea42ea533c53400,0.313,0.7070000000000001,7.0,-4.772,1.0,0.0363,0.22699999999999998,0.00237,0.0949,0.537,175.158,blues
